start_offset,end_offset,size,block_count,mean_entropy,max_entropy,mean_anomaly_score,max_anomaly_score
0,90112,90112,21,0.6797,3.2552,100.0,100
2674688,2691072,16384,4,2.6395,5.9169,86.81,100
7659520,7671808,12288,3,1.1224,3.3672,100.0,100
9310208,9326592,16384,4,0.7262,2.9047,100.0,100
10985472,11001856,16384,4,1.5871,3.9731,100.0,100
11870208,11882496,12288,3,0.9278,2.1494,100.0,100
13570048,13590528,20480,5,1.1396,3.336,100.0,100
14381056,14393344,12288,3,1.2479,1.7003,100.0,100
17747968,17768448,20480,5,0.6483,2.1427,100.0,100
18493440,18505728,12288,3,0.7315,2.1945,100.0,100
19361792,19374080,12288,3,0.7356,2.2067,100.0,100
20209664,20221952,12288,3,0.0,0.0,100.0,100
22634496,22654976,20480,5,2.1659,5.699,93.19,100
23461888,23474176,12288,3,3.5893,5.5555,89.72,100
25952256,25964544,12288,3,2.9277,5.0877,93.56,100
26836992,26849280,12288,3,2.5482,4.8815,94.74,100
27684864,27701248,16384,4,3.2193,6.1579,85.28,100
30232576,30253056,20480,5,1.2323,5.9686,91.37,100
