start_offset,end_offset,size,block_count,mean_entropy,max_entropy,mean_anomaly_score,max_anomaly_score
0,57344,57344,14,2.3407,5.3003,100.0,100
180224,217088,36864,9,2.6482,7.3364,97.23,100
253952,307200,53248,13,6.0181,6.0374,100.0,100
4313088,4362240,49152,12,6.1238,7.2605,96.37,100
157143040,157159424,16384,4,3.4332,5.6196,100.0,100
235188224,235241472,53248,13,6.0893,6.929,98.38,100
235261952,235425792,163840,40,6.02,6.0376,100.0,100
235450368,235864064,413696,99,6.0234,7.0912,99.21,100
235888640,236023808,135168,33,6.0194,6.0375,100.0,100
236113920,236331008,217088,50,6.4128,7.0217,85.2,100
236527616,236576768,49152,12,6.116,6.8597,98.43,100
236683264,236785664,102400,25,6.0256,6.1624,100.0,100
236810240,236892160,81920,20,6.0348,6.1969,100.0,100
238338048,238366720,28672,7,6.1851,6.9036,97.21,100
238374912,238456832,81920,20,6.066,6.9542,98.85,100
239067136,239079424,12288,3,6.2293,6.6144,98.86,100
240062464,240103424,40960,10,3.4712,7.3031,95.41,100
241684480,241696768,12288,3,5.1832,6.7899,100.0,100
241995776,242008064,12288,3,4.1754,5.7121,100.0,100
268328960,268361728,32768,7,4.6376,6.5271,100.0,100
268386304,268398592,12288,3,4.2363,6.5899,100.0,100
268439552,268455936,16384,3,6.3985,7.456,87.59,100
268902400,268918784,16384,3,7.2471,7.5098,79.76,100
279683072,279699456,16384,4,3.9573,6.1275,100.0,100
280170496,280182784,12288,3,5.9618,6.5523,100.0,100
282644480,282660864,16384,4,3.0828,6.1715,100.0,100
298999808,299032576,32768,7,4.4311,5.2726,100.0,100
299044864,299061248,16384,4,5.7269,7.3394,90.88,100
309727232,309821440,94208,23,6.1129,6.9036,90.36,100
